name,difficulty,likes,disslikes,isSolved
coin-change,Medium,14767,341,0
number-of-connected-components-in-an-undirected-graph,Medium,2349,80,0
wiggle-sort-ii,Medium,2520,871,0
maximum-size-subarray-sum-equals-k,Medium,1846,56,0
count-of-range-sum,Hard,1882,197,0
longest-increasing-path-in-a-matrix,Hard,7532,111,0
patching-array,Hard,1236,122,0
verify-preorder-serialization-of-a-binary-tree,Medium,1962,101,0
reconstruct-itinerary,Hard,4412,1634,0
largest-bst-subtree,Medium,1353,107,0
increasing-triplet-subsequence,Medium,6048,268,0
self-crossing,Hard,297,474,0
palindrome-pairs,Hard,4079,426,0
house-robber-iii,Medium,7209,108,0
nested-list-weight-sum,Medium,1547,353,0
longest-substring-with-at-most-k-distinct-characters,Medium,2529,76,0
flatten-nested-list-iterator,Medium,4050,1401,0
integer-break,Medium,3367,351,0
reverse-vowels-of-a-string,Easy,3028,2320,0
moving-average-from-data-stream,Easy,1450,144,0
top-k-frequent-elements,Medium,12070,441,0
design-tic-tac-toe,Medium,1860,110,0
android-unlock-patterns,Medium,129,139,0
data-stream-as-disjoint-intervals,Hard,732,166,0
design-snake-game,Medium,821,285,0
russian-doll-envelopes,Hard,4789,115,0
design-twitter,Medium,2703,348,0
line-reflection,Medium,241,511,0
count-numbers-with-unique-digits,Medium,1151,1344,0
rearrange-string-k-distance-apart,Hard,828,36,0
logger-rate-limiter,Easy,1499,180,0
sort-transformed-array,Medium,627,193,0
bomb-enemy,Medium,863,100,0
design-hit-counter,Medium,1783,183,0
max-sum-of-rectangle-no-larger-than-k,Hard,3151,160,0
nested-list-weight-sum-ii,Medium,1079,385,0
water-and-jug-problem,Medium,1048,1283,0
find-leaves-of-binary-tree,Medium,2967,50,0
valid-perfect-square,Easy,3096,265,0
largest-divisible-subset,Medium,3962,164,0
plus-one-linked-list,Medium,841,42,0
range-addition,Medium,1468,73,0
sum-of-two-integers,Medium,3189,4503,0
super-pow,Medium,629,1237,0
find-k-pairs-with-smallest-sums,Medium,3742,223,0
guess-number-higher-or-lower-ii,Medium,1739,1934,0
wiggle-subsequence,Medium,4461,144,0
combination-sum-iv,Medium,5358,555,0
design-phone-directory,Medium,303,434,0
insert-delete-getrandom-o1-duplicates-allowed,Hard,1955,132,0
linked-list-random-node,Medium,1907,465,0
shuffle-an-array,Medium,1028,796,0
mini-parser,Medium,403,1224,0
lexicographical-numbers,Medium,1544,124,0
longest-absolute-file-path,Medium,1114,2292,0
elimination-game,Medium,1084,601,0
perfect-rectangle,Hard,676,102,0
is-subsequence,Easy,6405,361,0
utf-8-validation,Medium,834,2771,0
decode-string,Medium,9939,441,0
longest-substring-with-at-least-k-repeating-characters,Medium,4875,392,0
rotate-function,Medium,1059,233,0
integer-replacement,Medium,1024,455,0
random-pick-index,Medium,1060,1166,0
evaluate-division,Medium,6693,583,0
nth-digit,Medium,795,1713,0
binary-watch,Easy,1108,2072,0
remove-k-digits,Medium,6972,290,0
frog-jump,Hard,3401,182,0
queue-reconstruction-by-height,Medium,6512,654,0
trapping-rain-water-ii,Hard,3210,73,0
valid-word-abbreviation,Easy,547,1884,0
longest-palindrome,Easy,4040,239,0
split-array-largest-sum,Hard,7273,166,0
minimum-unique-word-abbreviation,Hard,171,140,0
arithmetic-slices,Medium,4501,267,0
third-maximum-number,Easy,2161,2600,0
partition-equal-subset-sum,Medium,9453,156,0
pacific-atlantic-water-flow,Medium,5897,1120,0
sentence-screen-fitting,Medium,998,505,0
battleships-in-a-board,Medium,1842,853,0
strong-password-checker,Hard,622,1461,0
maximum-xor-of-two-numbers-in-an-array,Medium,4593,347,0
valid-word-square,Easy,315,189,0
reconstruct-original-digits-from-english,Medium,697,2350,0
longest-repeating-character-replacement,Medium,6869,267,0
word-squares,Hard,1006,66,0
convert-binary-search-tree-to-sorted-doubly-linked-list,Medium,2378,184,0
construct-quad-tree,Medium,570,772,0
